编号,拼音简称,公告地址,文交所简称
1,nj,http://www.zgqbyp.com/web/xxpl/,南京
2,zn,http://www.znypjy.com/a/xinxipilu/list_6_1.html,中南
3,bw,http://www.bcee.cc/swszp/xxpl/tzgg/index.html,北文
4,bs,http://www.mycollection.com.cn/index.php?a=lists&catid=7,渤商
5,swsj,http://www.shexch.com/web/news/news.jsp?parentid=47&classid=58,上文申江
6,tj,http://www.tj-ybk.com/xx/news.php?lang=cn&class2=162,天津
7,zy,http://www.cacecybk.com.cn/web/news/news.jsp?parentid=44,中艺
8,nf,http://www.nfqbyp.com/infomation.html,南方
9,sy,http://www.shscce.com/html/shscce/zxgg/index_1.shtml,上邮
10,jmj,http://qbyp.jinmajia.com/lyzt/2014/02/coin/gggs/,金马甲
11,flt,http://dzp.wjybk.com/?action-xxpl,福丽特
12,hz,http://www.hbcpre.com/index.php/index-show-tid-26.html,华中
13,hx,http://www.huaxiacae.com/notice/,华夏
14,hnwh,http://ybk.hncae.net/wjs/index.htm,湖南文化
15,js,http://ybk.jscaee.com.cn/statics/tongzhigonggao/,江苏
16,hx,http://ybk.hxce.cn/html/xxpl/,海西
17,nc,http://ybk.nccaee.com/news.php?bid=6,南昌
18,gss,http://qbyp.gzcmex.com/web/news/news.jsp?parentid=45&classid=56&spid=77,广商所
19,cd,http://118.145.4.144/web/news/news.jsp?parentid=46&classid=56,成都
20,jq,http://www.shscae.com//info_notice/,聚奇
21,xb,http://www.xjsybk.com/news!list.action?code=3,西部
22,zr,http://www.zrxtpme.com/news/39.html#,中融
23,sdl,http://www.30scp.com/news/index.php?classid=1,叁点零
24,jz,http://www.jzybk.com/html/about_zxgg.aspx,九州
25,qqwh,http://www.ybika.com/notice/index.htm,全球文化
26,nx,http://www.nxscae.com/pl/tz/,宁夏
27,dbsp,http://fs.dbce.cn/news.php?big=2&nt=18,东北商品
28,ze,http://www.zeybk.com/Information.aspx,中俄
29,zs,http://ybk.zscme.com/investment.asp?id=26,中狮
30,bl,http://www.blybk.com/web/xinxipilou/,保利
31,hb,http://www.hbyoubi.com/list.asp?cid=111,河北
32,nss,http://www.nndzsp.com/html/c/1012/index.html,南商所
33,ht,http://www.htcae.com/sjbg/zxgg/,汉唐
34,by,http://bse.ypjys.com/Reveal/Announcement/,北邮
35,zj,http://ybk.zjcem.com/gggs.html,中京
36,ag,http://www.agybk.com/infomation/,安贵
37,xn,http://www.csatc.cn/list-59-1.html,西南
38,sy,http://www.sace.org.cn/Home/Anoc/listNotice.action,上艺
39,ls,http://www.lsysp.com/Html/News-20161129345.Html,隆盛
40,zyn,http://www.zhao.com/trade/articles?cid=13,赵涌牛
41,yr,http://www.yrce.cn/a/tuoguangonggao/,永瑞
